=============================================================================
 block-dangerous.ps1 検証ハーネス (test-hook-utf8.ps1)
=============================================================================
 harness host        : 7.6.5 (Core)
 hook path           : C:\Users\topge\.claude\hooks\block-dangerous.ps1
 hook size / head    : 29689 bytes / EF BB BF (BOM 確認済み)
 work dir for child  : C:\Users\topge\.claude\hooks
 timeout per case    : 20000 ms
 self-check          : OK (Japanese literal code points, hook BOM, payload raw bytes)
 cp932 encoder       : available
 cases               : 75  x  targets 4  =  300 実行

--- 起動形（第2の軸）と実際に発行するコマンドライン -------------------------
 [WinPS5.1/A ] -File 起動
     C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -NonInteractive -ExecutionPolicy Bypass -File "C:\Users\topge\.claude\hooks\block-dangerous.ps1"
 [WinPS5.1/B ] -Command & 起動【本番同型】
     C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -NonInteractive -ExecutionPolicy Bypass -Command "& 'C:\Users\topge\.claude\hooks\block-dangerous.ps1'"
 [PS7/A      ] -File 起動
     C:\Program Files\WindowsApps\Microsoft.PowerShell_7.6.5.0_x64__8wekyb3d8bbwe\pwsh.exe -NoProfile -NonInteractive -ExecutionPolicy Bypass -File "C:\Users\topge\.claude\hooks\block-dangerous.ps1"
 [PS7/B      ] -Command & 起動【本番同型】
     C:\Program Files\WindowsApps\Microsoft.PowerShell_7.6.5.0_x64__8wekyb3d8bbwe\pwsh.exe -NoProfile -NonInteractive -ExecutionPolicy Bypass -Command "& 'C:\Users\topge\.claude\hooks\block-dangerous.ps1'"
 ※ 上の1行は実物である。引用符の入れ子が壊れていればここで目視できる。
    壊れていると全ケースが偽 NG になるため、集計より先にこの行を検分すること。

 凡例: [OK]/[NG] = 合否判定, [REC] = 記録のみ（合否に算入しない）
       BOM:yes は致命傷（stdout 先頭 3 バイトが EF BB BF）
       moji:yes = 理由文に U+FFFD を含む、または期待する日本語部分文字列を含まない
       ※ 日本語の合否判定は文字列比較で機械的に行う。コンソール表示の化けは判定に無関係。

 【最重要】形B（-Command & 起動）が本番同型である。
   本番 settings.json のフック起動指定は "& \"$HOME\\.claude\\hooks\\block-dangerous.ps1\"" ＝ & 呼び出し形。
   .ps1 を & で呼ぶと script 内の exit N がホストに伝わらず 1 に化けることが実測されている
   （[System.Environment]::Exit(N) なら伝わる）。exit 1 は Claude Code にとって
   non-blocking error であり、ツール呼び出しはそのまま進む＝ブロックが効かない。
   ゆえに【形B で deny の exit code が 2 でなければ、それだけで RESULT: FAIL】である。
   形A が全合格でも形B が落ちていれば本番は破れている。集計は必ず形B を先に見よ。

 【切り分けの目安】形B だけ全ケースが ask（理由文が「標準入力が空」）になった場合、
   それはフックの欠陥ではなく、-Command 起動側が stdin を先に消費している疑いである。
   その場合は上に出した形B のコマンドライン（引用符の入れ子）を疑うこと。

-----------------------------------------------------------------------------
 target: WinPS5.1/A   -File 起動
   C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -NonInteractive -ExecutionPolicy Bypass -File "C:\Users\topge\.claude\hooks\block-dangerous.ps1"
-----------------------------------------------------------------------------
[OK]  WinPS5.1/A  | A1 prodcwd-JP deny : git -C . reset --hard HEA | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | A2 prodcwd-JP ask  : cat .env                  | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | A3 prodcwd-JP safe : ls -la                    | 期待((none),0)             | 実測((none),0)             | BOM:no  | moji:n/a
[OK]  WinPS5.1/A  | A4 prodcwd-JP + JP command (echo)              | 期待((none),0)             | 実測((none),0)             | BOM:no  | moji:n/a
[OK]  WinPS5.1/A  | A5 prodcwd-JP + JP arg on deny cmd             | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B1 payload with leading UTF-8 BOM (deny cmd)   | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B2 stdin = 0 byte (empty)                      | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B3 stdin = BOM only (3 byte)                   | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B4 stdin = whitespace only                     | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B5 broken JSON (truncated)                     | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B6 broken JSON (missing brace)                 | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B7 not JSON at all                             | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B8 no tool_input key                           | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B9 tool_input without command                  | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B10 command = empty string                     | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B11 command = null                             | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B12 command = whitespace only                  | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B13 payload is JSON array (deny cmd)           | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B14 payload is JSON array (safe cmd)           | 期待((none),0)             | 実測((none),0)             | BOM:no  | moji:n/a
[OK]  WinPS5.1/A  | B15 payload is empty JSON array                | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B16 CP932 bytes, prodcwd-JP, safe cmd          | 期待((none),0)             | 実測((none),0)             | BOM:no  | moji:n/a
[OK]  WinPS5.1/A  | B17 CP932 bytes, prodcwd-JP, deny cmd          | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B18 CP932 bytes, dame-moji cwd (SO)            | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | B19 raw invalid UTF-8 byte injection           | 期待(ask,0)                | 実測(ask,0)                | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C01 rm -rf /                                   | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C02 git reset --hard HEAD                      | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C03 git -C . reset --hard HEAD                 | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C04 git -C /p -c u=x push --force              | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C05 git push -f origin main                    | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C06 git clean -fd                              | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C07 git checkout -- .                          | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C08 git restore .                              | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C09 mkfs.ext4 /dev/sda                         | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C10 dd if=/dev/zero of=/dev/sda                | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C11 FOO=bar ls                                 | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C12 ls ; rm -rf x                              | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
[OK]  WinPS5.1/A  | C13 git commit -n -m x                         | 期待(deny,2)               | 実測(deny,2)               | BOM:no  | moji:no
